label,text
1,"2008.4.5入住该酒店南楼大床间,总体感觉不错，符合三星标准。值得赞一下的是客房送餐很好，饭菜好吃，价格也不贵。不足：床垫太软，对于不喜欢睡软床的来说，可能不舒服。"
0,房间为商务人士装修，没有挂衣服的衣橱和放东西的柜子，而是一些生出来的钩子。3月25日一开始入住时发现热水水温很低，不足以洗头洗澡，后来前台派了师傅来查发现时锅炉房水温设置过低，调整后好了，整个过程服务人员态度尚可。但是夜间来临时发现该酒店的地下室是西宁市最大的迪厅，沉重的重音效果越过遥遥4-5层楼板和我的耳塞依然无法平息。据前台的人说要迪厅营业她们也没有办法，音响临晨2点才会歇。附近还有好乐迪KTV什么的。这样的旅馆就算一夜80元（订价163）我也不会住的。后来将就了一夜（难怪叫一天快捷），第二天晚移至康乐的“永昌大厦”（八一中路78号），80元的标间，有热水洗澡，夜里睡得很好。
0,知道酒店房间小，但没想到这么小，转身都困难；知道酒店房间吵，但没想到这么吵，除了自己的呼噜声，什么声音都能听到；知道酒店服务差，但没想到这么差，服务员说话的感觉和吵架没啥区别；总之，相同价格的酒店还有很多，其他同类酒店的设备和服务比汉普顿好的多了，以后实在不会选择这汉普顿了。。。。。。国内的很多招待所的质量估计都要比它好很多。。。。。。
1,房间设备还不错，可以说得上是三星级，不过那个早餐实在不敢恭维，携程上加一份早餐是35元，在所谓的观景餐厅，结果那里小的出奇，而且自助早餐的品种实在少，水果也不新鲜。第一次住的是双床标间，房间设备比较新，比较舒服，第二次要了一个大床房间，结果是西晒的格局很不规范的大床房间，当时提出换房间，那个前台小姐态度极其不好，在那里发牢骚，很不情愿，这个和所谓的四星级就相差太多了。的确让我郁闷了一下，不知道是不是携程特价的原因。不过那里的门童还不错。
1,上周日1月28日晚我的客人到酒店后前台尽然不知道定过房。预定使用了我和客人的名字，服务员查询后后，证实有过预定。
1,"房比,但服不.值得一提是西餐.食物方面,人在城可以排在首位!"
1,被单太旧了，盖得有点难受，应该尽快换新的。吃饭的地方应该有点特色，不知道吃什么好
0,房间有漏水痕迹，内部感觉也不好，价格也不便宜，不想再次入住
1,"作为喜达屋的金卡会员,喜来登就是品质的保证,所以好的不多说了,鸡蛋里挑骨头说点需要改进的吧.1.房门自动关不紧,要拉一下,有点危险.2.前两次入住一早会把帐单从门缝里塞进来,感觉很细致,这次却没有,可能是入住人太多了忙不过来.3.中午吃的自助餐,海蟹肯定不太新鲜,要重视啊!4.最不爽的是：这一年价钱涨得太快了！另外，这次入住的是高级大床房，感觉反而没有舒适大床房好。个人觉得喜达屋旗下的酒店各有千秋，象艾美是奢华和大气，豪达喜来登是复古和庄重，福朋的特色则应该是精巧雅致，房间一大反而失去了那种紧凑感。（所以楼下有人评福朋的房间小应该就是指的舒适房，但岂不知这才是她的特色。）还有携程的信息可能有点问题，舒适大床房中的大床可能是queensize的，高级大床房的大床可能是kingsize，两者不仅是房间面积的不同，有机会应该核证一下。"
0,"个人认为不符合4星的条件,房间很潮湿,酶味太重,,根本没办法入睡,浴室的条件也不怎么样,总之感觉更像个快捷式酒店"
